"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","dal","(U) ","decalitre",
"(U) ","dam","(U) ","decametre",
"(U) ","daPa","(U) ","decapascal",
"(U) ","daa","(U) ","decare",
"(U) ","dB","(U) ","decibel",
"(U) ","dB/km","(U) ","decibel per kilometre",
"(U) ","dB/m","(U) ","decibel per metre",
"(U) ","dg","(U) ","decigram",
"(U) ","dl","(U) ","decilitre",
"(U) ","dl/g","(U) ","decilitre per gram",
"(U) ","dm","(U) ","decimetre",
"(U) ","dN·m","(U) ","decinewton metre",
"(U) ","dt","(U) ","decitonne",
"(U) ","dtn","(U) ","decitonne",
"(U) ","°","(U) ","degree [unit of angle]",
"(U) ","°C","(U) ","degree Celsius",
"(U) ","°C/bar","(U) ","degree Celsius per bar",
"(U) ","°C/h","(U) ","degree Celsius per hour",
"(U) ","°C/K","(U) ","degree celsius per kelvin",
"(U) ","°C/min","(U) ","degree Celsius per minute",
"(U) ","°C/s","(U) ","degree Celsius per second",
"(U) ","°F","(U) ","degree Fahrenheit",
"(U) ","°F·h·ft²/BtuIT","(U) ","degree Fahrenheit hour square foot per British thermal unit (international table)",
"(U) ","°F·h·ft²/Btuth","(U) ","degree Fahrenheit hour square foot per British thermal unit (thermochemical)",
"(U) ","°F/bar","(U) ","degree Fahrenheit per bar",
"(U) ","°F/h","(U) ","degree Fahrenheit per hour",
"(U) ","°F/K","(U) ","degree Fahrenheit per kelvin",
"(U) ","°F/min","(U) ","degree Fahrenheit per minute",
"(U) ","°F/s","(U) ","degree Fahrenheit per second",
"(U) ","°/m","(U) ","degree per metre",
"(U) ","°/s","(U) ","degree per second",
"(U) ","°R","(U) ","degree Rankine",
"(U) ","°R/h","(U) ","degree Rankine per hour",
"(U) ","°R/min","(U) ","degree Rankine per minute",
"(U) ","°R/s","(U) ","degree Rankine per second",
"(U) ","bbl (US)","(U) ","dry barrel (US)",
"(U) ","dry gal (US)","(U) ","dry gallon (US)",
"(U) ","dry pt (US)","(U) ","dry pint (US)",
"(U) ","dry qt (US)","(U) ","dry quart (US)",
"(U) ","dyn","(U) ","dyne",
"(U) ","dyn·cm","(U) ","dyne centimetre",
"(U) ","dyn/cm","(U) ","dyne per centimetre",
"(U) ","dyn/cm²","(U) ","dyne per square centimetre",
"(U) ","dyn·s/cm","(U) ","dyne second per centimetre",
"(U) ","dyn·s/cm⁵","(U) ","dyne second per centimetre to the fifth power",
"(U) ","dyn·s/cm³","(U) ","dyne second per cubic centimetre",
"(U) ","eV","(U) ","electronvolt",
"(U) ","eV/m","(U) ","electronvolt per metre",
"(U) ","eV·m²","(U) ","electronvolt square metre",
"(U) ","eV·m²/kg","(U) ","electronvolt square metre per kilogram",
"(U) ","erg","(U) ","erg",
"(U) ","erg/cm","(U) ","erg per centimetre",
"(U) ","erg/cm³","(U) ","erg per cubic centimetre",
"(U) ","erg/g","(U) ","erg per gram",
"(U) ","erg/g·s","(U) ","erg per gram second",
"(U) ","erg/s","(U) ","erg per second",
"(U) ","erg/(s·cm²)","(U) ","erg per second square centimetre",
"(U) ","erg/(cm²·s)","(U) ","erg per square centimetre second",
"(U) ","erg·cm²","(U) ","erg square centimetre",
"(U) ","erg·cm²/g","(U) ","erg square centimetre per gram",
"(U) ","EJ","(U) ","exajoule",
"(U) ","F","(U) ","farad",
"(U) ","F/km","(U) ","farad per kilometre",
"(U) ","F/m","(U) ","farad per metre",
"(U) ","fth","(U) ","fathom",
"(U) ","fJ","(U) ","femtojoule",
"(U) ","fm","(U) ","femtometre",
"(U) ","fl oz (UK)","(U) ","fluid ounce (UK)",
"(U) ","fl oz (US)","(U) ","fluid ounce (US)",
"(U) ","ft","(U) ","foot",
"(U) ","ft Hg","(U) ","foot of mercury",
"(U) ","ft H₂O","(U) ","foot of water",
"(U) ","ft/°F","(U) ","foot per degree Fahrenheit",
"(U) ","ft/h","(U) ","foot per hour",
"(U) ","ft/min","(U) ","foot per minute",
"(U) ","ft/psi","(U) ","foot per psi",
"(U) ","ft/s","(U) ","foot per second",
"(U) ","(ft/s)/°F","(U) ","foot per second degree Fahrenheit",
"(U) ","(ft/s)/psi","(U) ","foot per second psi",
"(U) ","ft/s²","(U) ","foot per second squared",
"(U) ","ft·lbf","(U) ","foot pound-force",
"(U) ","ft·lbf/h","(U) ","foot pound-force per hour",
"(U) ","ft·lbf/min","(U) ","foot pound-force per minute",
