"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","mad","(U) ","Madurese",
"(U) ","mag","(U) ","Magahi",
"(U) ","mah","(U) ","Marshallese",
"(U) ","mai","(U) ","Maithili",
"(U) ","mak","(U) ","Makasar",
"(U) ","mal","(U) ","Malayalam",
"(U) ","man","(U) ","Mandingo",
"(U) ","mao","(U) ","Bibliographic applications trigraph for Maori",
"(U) ","map","(U) ","Austronesian languages",
"(U) ","mar","(U) ","Marathi",
"(U) ","mas","(U) ","Masai",
"(U) ","may","(U) ","Bibliographic applications trigraph for Malay (macrolanguage)",
"(U) ","mdf","(U) ","Moksha",
"(U) ","mdr","(U) ","Mandar",
"(U) ","men","(U) ","Mende (Sierra Leone)",
"(U) ","mga","(U) ","Middle Irish (900-1200)",
"(U) ","mic","(U) ","Mi'kmaq",
"(U) ","min","(U) ","Minangkabau",
"(U) ","mis","(U) ","Uncoded languages",
"(U) ","mkd","(U) ","Terminology applications trigraph for Macedonian",
"(U) ","mkh","(U) ","Mon-Khmer languages",
"(U) ","mlg","(U) ","Malagasy",
"(U) ","mlt","(U) ","Maltese",
"(U) ","mnc","(U) ","Manchu",
"(U) ","mni","(U) ","Manipuri",
"(U) ","mno","(U) ","Manobo languages",
"(U) ","moh","(U) ","Mohawk",
"(U) ","mon","(U) ","Mongolian",
"(U) ","mos","(U) ","Mossi",
"(U) ","mri","(U) ","Terminology applications trigraph for Maori",
"(U) ","msa","(U) ","Terminology applications trigraph for Malay (macrolanguage)",
"(U) ","mul","(U) ","Multiple languages",
"(U) ","mun","(U) ","Munda languages",
"(U) ","mus","(U) ","Creek",
"(U) ","mwl","(U) ","Mirandese",
"(U) ","mwr","(U) ","Marwari",
"(U) ","mya","(U) ","Terminology applications trigraph for Burmese",
"(U) ","myn","(U) ","Mayan languages",
"(U) ","myv","(U) ","Erzya",
"(U) ","nah","(U) ","Nahuatl languages",
"(U) ","nai","(U) ","North American Indian languages",
"(U) ","nap","(U) ","Neapolitan",
"(U) ","nau","(U) ","Nauru",
"(U) ","nav","(U) ","Navajo",
"(U) ","nbl","(U) ","South Ndebele",
"(U) ","nde","(U) ","North Ndebele",
"(U) ","ndo","(U) ","Ndonga",
"(U) ","nds","(U) ","Low German",
"(U) ","nep","(U) ","Nepali",
"(U) ","new","(U) ","Newari",
"(U) ","nia","(U) ","Nias",
"(U) ","nic","(U) ","Niger-Kordofanian languages",
"(U) ","niu","(U) ","Niuean",
"(U) ","nld","(U) ","Terminology applications trigraph for Dutch",
"(U) ","nno","(U) ","Norwegian Nynorsk",
"(U) ","nob","(U) ","Norwegian Bokmål",
"(U) ","nog","(U) ","Nogai",
"(U) ","non","(U) ","Old Norse",
"(U) ","nor","(U) ","Norwegian",
"(U) ","nqo","(U) ","N'Ko",
"(U) ","nso","(U) ","Pedi",
"(U) ","nub","(U) ","Nubian languages",
"(U) ","nwc","(U) ","Classical Newari",
"(U) ","nya","(U) ","Nyanja",
"(U) ","nym","(U) ","Nyamwezi",
"(U) ","nyn","(U) ","Nyankole",
"(U) ","nyo","(U) ","Nyoro",
"(U) ","nzi","(U) ","Nzima",
"(U) ","oci","(U) ","Occitan (post 1500)",
"(U) ","oji","(U) ","Ojibwa",
"(U) ","ori","(U) ","Oriya",
"(U) ","orm","(U) ","Oromo",
"(U) ","osa","(U) ","Osage",
"(U) ","oss","(U) ","Ossetian",
"(U) ","ota","(U) ","Ottoman Turkish (1500-1928)",
"(U) ","oto","(U) ","Otomian languages",
"(U) ","paa","(U) ","Papuan languages",
"(U) ","pag","(U) ","Pangasinan",
"(U) ","pal","(U) ","Pahlavi",
"(U) ","pam","(U) ","Pampanga",
"(U) ","pan","(U) ","Panjabi",
"(U) ","pap","(U) ","Papiamento",
