"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","application/tve-trigger","(U) ","tve-trigger",
"(U) ","application/ulpfec","(U) ","ulpfec",
"(U) ","application/urc-grpsheet+xml","(U) ","urc-grpsheet+xml",
"(U) ","application/urc-ressheet+xml","(U) ","urc-ressheet+xml",
"(U) ","application/urc-targetdesc+xml","(U) ","urc-targetdesc+xml",
"(U) ","application/urc-uisocketdesc+xml","(U) ","urc-uisocketdesc+xml",
"(U) ","application/vcard+json","(U) ","vcard+json",
"(U) ","application/vcard+xml","(U) ","vcard+xml",
"(U) ","application/vemmi","(U) ","vemmi",
"(U) ","application/vnd-acucobol","(U) ","vnd.acucobol",
"(U) ","application/vnd-curl","(U) ","vnd.curl",
"(U) ","application/vnd-dart","(U) ","vnd.dart",
"(U) ","application/vnd-dxr","(U) ","vnd.dxr",
"(U) ","application/vnd-fdf","(U) ","vnd.fdf",
"(U) ","application/vnd-mif","(U) ","vnd.mif",
"(U) ","application/vnd-sema","(U) ","vnd.sema",
"(U) ","application/vnd-wap-wmlc","(U) ","vnd.wap.wmlc",
"(U) ","application/vnd.3M.Post-it-Notes","(U) ","vnd.3M.Post-it-Notes",
"(U) ","application/vnd.3gpp-prose+xml","(U) ","vnd.3gpp-prose+xml",
"(U) ","application/vnd.3gpp-prose-pc3ch+xml","(U) ","vnd.3gpp-prose-pc3ch+xml",
"(U) ","application/vnd.3gpp.SRVCC-info+xml","(U) ","vnd.3gpp.SRVCC-info+xml",
"(U) ","application/vnd.3gpp.access-transfer-events+xml","(U) ","vnd.3gpp.access-transfer-events+xml",
"(U) ","application/vnd.3gpp.bsf+xml","(U) ","vnd.3gpp.bsf+xml",
"(U) ","application/vnd.3gpp.mid-call+xml","(U) ","vnd.3gpp.mid-call+xml",
"(U) ","application/vnd.3gpp.pic-bw-large","(U) ","vnd.3gpp.pic-bw-large",
"(U) ","application/vnd.3gpp.pic-bw-small","(U) ","vnd.3gpp.pic-bw-small",
"(U) ","application/vnd.3gpp.pic-bw-var","(U) ","vnd.3gpp.pic-bw-var",
"(U) ","application/vnd.3gpp.sms","(U) ","vnd.3gpp.sms",
"(U) ","application/vnd.3gpp.sms+xml","(U) ","vnd.3gpp.sms+xml",
"(U) ","application/vnd.3gpp.srvcc-ext+xml","(U) ","vnd.3gpp.srvcc-ext+xml",
"(U) ","application/vnd.3gpp.state-and-event-info+xml","(U) ","vnd.3gpp.state-and-event-info+xml",
"(U) ","application/vnd.3gpp.ussd+xml","(U) ","vnd.3gpp.ussd+xml",
"(U) ","application/vnd.3gpp2.bcmcsinfo+xml","(U) ","vnd.3gpp2.bcmcsinfo+xml",
"(U) ","application/vnd.3gpp2.sms","(U) ","vnd.3gpp2.sms",
"(U) ","application/vnd.3gpp2.tcap","(U) ","vnd.3gpp2.tcap",
"(U) ","application/vnd.3lightssoftware.imagescal","(U) ","vnd.3lightssoftware.imagescal",
"(U) ","application/vnd.FloGraphIt","(U) ","vnd.FloGraphIt",
"(U) ","application/vnd.HandHeld-Entertainment+xml","(U) ","vnd.HandHeld-Entertainment+xml",
"(U) ","application/vnd.Kinar","(U) ","vnd.Kinar",
"(U) ","application/vnd.MFER","(U) ","vnd.MFER",
"(U) ","application/vnd.Mobius.DAF","(U) ","vnd.Mobius.DAF",
"(U) ","application/vnd.Mobius.DIS","(U) ","vnd.Mobius.DIS",
"(U) ","application/vnd.Mobius.MBK","(U) ","vnd.Mobius.MBK",
"(U) ","application/vnd.Mobius.MQY","(U) ","vnd.Mobius.MQY",
"(U) ","application/vnd.Mobius.MSL","(U) ","vnd.Mobius.MSL",
"(U) ","application/vnd.Mobius.PLC","(U) ","vnd.Mobius.PLC",
"(U) ","application/vnd.Mobius.TXF","(U) ","vnd.Mobius.TXF",
"(U) ","application/vnd.Quark.QuarkXPress","(U) ","vnd.Quark.QuarkXPress",
"(U) ","application/vnd.SimTech-MindMapper","(U) ","vnd.SimTech-MindMapper",
"(U) ","application/vnd.accpac.simply.aso","(U) ","vnd.accpac.simply.aso",
"(U) ","application/vnd.accpac.simply.imp","(U) ","vnd.accpac.simply.imp",
"(U) ","application/vnd.acucorp","(U) ","vnd.acucorp",
"(U) ","application/vnd.adobe.flash-movie","(U) ","vnd.adobe.flash.movie",
"(U) ","application/vnd.adobe.formscentral.fcdt","(U) ","vnd.adobe.formscentral.fcdt",
"(U) ","application/vnd.adobe.fxp","(U) ","vnd.adobe.fxp",
"(U) ","application/vnd.adobe.partial-upload","(U) ","vnd.adobe.partial-upload",
"(U) ","application/vnd.adobe.xdp+xml","(U) ","vnd.adobe.xdp+xml",
"(U) ","application/vnd.adobe.xfdf","(U) ","vnd.adobe.xfdf",
"(U) ","application/vnd.aether.imp","(U) ","vnd.aether.imp",
"(U) ","application/vnd.ah-barcode","(U) ","vnd.ah-barcode",
"(U) ","application/vnd.ahead.space","(U) ","vnd.ahead.space",
"(U) ","application/vnd.airzip.filesecure.azf","(U) ","vnd.airzip.filesecure.azf",
"(U) ","application/vnd.airzip.filesecure.azs","(U) ","vnd.airzip.filesecure.azs",
"(U) ","application/vnd.americandynamics.acc","(U) ","vnd.americandynamics.acc",
"(U) ","application/vnd.amiga.ami","(U) ","vnd.amiga.ami",
"(U) ","application/vnd.amundsen.maze+xml","(U) ","vnd.amundsen.maze+xml",
"(U) ","application/vnd.anki","(U) ","vnd.anki",
"(U) ","application/vnd.anser-web-certificate-issue-initiation","(U) ","vnd.anser-web-certificate-issue-initiation",
"(U) ","application/vnd.antix.game-component","(U) ","vnd.antix.game-component",
"(U) ","application/vnd.apache.thrift.binary","(U) ","vnd.apache.thrift.binary",
"(U) ","application/vnd.apache.thrift.compact","(U) ","vnd.apache.thrift.compact",
"(U) ","application/vnd.apache.thrift.json","(U) ","vnd.apache.thrift.json",
"(U) ","application/vnd.api+json","(U) ","vnd.api+json",
"(U) ","application/vnd.apple.installer+xml","(U) ","vnd.apple.installer+xml",
"(U) ","application/vnd.apple.mpegurl","(U) ","vnd.apple.mpegurl",
"(U) ","application/vnd.aristanetworks.swi","(U) ","vnd.aristanetworks.swi",
"(U) ","application/vnd.artsquare","(U) ","vnd.artsquare",
"(U) ","application/vnd.astraea-software.iota","(U) ","vnd.astraea-software.iota",
"(U) ","application/vnd.audiograph","(U) ","vnd.audiograph",
"(U) ","application/vnd.autopackage","(U) ","vnd.autopackage",
"(U) ","application/vnd.avistar+xml","(U) ","vnd.avistar+xml",
