"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","ams","(U) ","Southern Amami-Oshima",
"(U) ","amt","(U) ","Amto",
"(U) ","amu","(U) ","Guerrero Amuzgo",
"(U) ","amv","(U) ","Ambelau",
"(U) ","amw","(U) ","Western Neo-Aramaic",
"(U) ","amx","(U) ","Anmatyerre",
"(U) ","amy","(U) ","Ami",
"(U) ","amz","(U) ","Atampaya",
"(U) ","ana","(U) ","Andaqui",
"(U) ","anb","(U) ","Andoa",
"(U) ","anc","(U) ","Ngas",
"(U) ","and","(U) ","Ansus",
"(U) ","ane","(U) ","Xârâcùù",
"(U) ","anf","(U) ","Animere",
"(U) ","ang","(U) ","Old English (ca. 450-1100)",
"(U) ","anh","(U) ","Nend",
"(U) ","ani","(U) ","Andi",
"(U) ","anj","(U) ","Anor",
"(U) ","ank","(U) ","Goemai",
"(U) ","anl","(U) ","Anu",
"(U) ","anm","(U) ","Anal",
"(U) ","ann","(U) ","Obolo",
"(U) ","ano","(U) ","Andoque",
"(U) ","anp","(U) ","Angika",
"(U) ","anq","(U) ","Jarawa (India)",
"(U) ","anr","(U) ","Andh",
"(U) ","ans","(U) ","Anserma",
"(U) ","ant","(U) ","Antakarinya",
"(U) ","anu","(U) ","Anuak",
"(U) ","anv","(U) ","Denya",
"(U) ","anw","(U) ","Anaang",
"(U) ","anx","(U) ","Andra-Hus",
"(U) ","any","(U) ","Anyin",
"(U) ","anz","(U) ","Anem",
"(U) ","aoa","(U) ","Angolar",
"(U) ","aob","(U) ","Abom",
"(U) ","aoc","(U) ","Pemon",
"(U) ","aod","(U) ","Andarum",
"(U) ","aoe","(U) ","Angal Enen",
"(U) ","aof","(U) ","Bragat",
"(U) ","aog","(U) ","Angoram",
"(U) ","aoh","(U) ","Arma",
"(U) ","aoi","(U) ","Anindilyakwa",
"(U) ","aoj","(U) ","Mufian",
"(U) ","aok","(U) ","Arhö",
"(U) ","aol","(U) ","Alor",
"(U) ","aom","(U) ","Ömie",
"(U) ","aon","(U) ","Bumbita Arapesh",
"(U) ","aor","(U) ","Aore",
"(U) ","aos","(U) ","Taikat",
"(U) ","aot","(U) ","A'tong",
"(U) ","aou","(U) ","A'ou",
"(U) ","aox","(U) ","Atorada",
"(U) ","aoz","(U) ","Uab Meto",
"(U) ","apb","(U) ","Sa'a",
"(U) ","apc","(U) ","North Levantine Arabic",
"(U) ","apd","(U) ","Sudanese Arabic",
"(U) ","ape","(U) ","Bukiyip",
"(U) ","apf","(U) ","Pahanan Agta",
"(U) ","apg","(U) ","Ampanang",
"(U) ","aph","(U) ","Athpariya",
"(U) ","api","(U) ","Apiaká",
"(U) ","apj","(U) ","Jicarilla Apache",
"(U) ","apk","(U) ","Kiowa Apache",
"(U) ","apl","(U) ","Lipan Apache",
"(U) ","apm","(U) ","Mescalero-Chiricahua Apache",
"(U) ","apn","(U) ","Apinayé",
"(U) ","apo","(U) ","Apalik",
"(U) ","app","(U) ","Apma",
"(U) ","apq","(U) ","A-Pucikwar",
"(U) ","apr","(U) ","Arop-Lokep",
"(U) ","aps","(U) ","Arop-Sissano",
"(U) ","apt","(U) ","Apatani",
"(U) ","apu","(U) ","Apurinã",
"(U) ","apv","(U) ","Alapmunte",
"(U) ","apw","(U) ","Western Apache",
"(U) ","apx","(U) ","Aputai",
"(U) ","apy","(U) ","Apalaí",
"(U) ","apz","(U) ","Safeyoka",
"(U) ","aqc","(U) ","Archi",
"(U) ","aqd","(U) ","Ampari Dogon",
"(U) ","aqg","(U) ","Arigidi",
"(U) ","aqm","(U) ","Atohwaim",
"(U) ","aqn","(U) ","Northern Alta",
"(U) ","aqp","(U) ","Atakapa",
"(U) ","aqr","(U) ","Arhâ",
"(U) ","aqt","(U) ","Angaité",
"(U) ","aqz","(U) ","Akuntsu",
"(U) ","ara","(U) ","Arabic",
"(U) ","arb","(U) ","Standard Arabic",
"(U) ","arc","(U) ","Official Aramaic (700-300 BCE)",
"(U) ","ard","(U) ","Arabana",
"(U) ","are","(U) ","Western Arrarnta",
"(U) ","arg","(U) ","Aragonese",
"(U) ","arh","(U) ","Arhuaco",
"(U) ","ari","(U) ","Arikara",
"(U) ","arj","(U) ","Arapaso",
"(U) ","ark","(U) ","Arikapú",
"(U) ","arl","(U) ","Arabela",
"(U) ","arn","(U) ","Mapudungun",
"(U) ","aro","(U) ","Araona",
"(U) ","arp","(U) ","Arapaho",
"(U) ","arq","(U) ","Algerian Arabic",
"(U) ","arr","(U) ","Karo (Brazil)",
"(U) ","ars","(U) ","Najdi Arabic",
"(U) ","aru","(U) ","Aruá (Amazonas State)",
"(U) ","arv","(U) ","Arbore",
"(U) ","arw","(U) ","Arawak",
"(U) ","arx","(U) ","Aruá (Rodonia State)",
"(U) ","ary","(U) ","Moroccan Arabic",
"(U) ","arz","(U) ","Egyptian Arabic",
"(U) ","asa","(U) ","Asu (Tanzania)",
"(U) ","asb","(U) ","Assiniboine",
"(U) ","asc","(U) ","Casuarina Coast Asmat",
"(U) ","asd","(U) ","Asas",
"(U) ","ase","(U) ","American Sign Language",
"(U) ","asf","(U) ","Australian Sign Language",
"(U) ","asg","(U) ","Cishingini",
"(U) ","ash","(U) ","Abishira",
"(U) ","asi","(U) ","Buruwai",
"(U) ","asj","(U) ","Nsari",
"(U) ","ask","(U) ","Ashkun",
"(U) ","asl","(U) ","Asilulu",
"(U) ","asm","(U) ","Assamese",
"(U) ","asn","(U) ","Xingú Asuriní",
"(U) ","aso","(U) ","Dano",
"(U) ","asp","(U) ","Algerian Sign Language",
"(U) ","asq","(U) ","Austrian Sign Language",
"(U) ","asr","(U) ","Asuri",
"(U) ","ass","(U) ","Ipulo",
"(U) ","ast","(U) ","Asturian",
